snippet_id,jtbd_id,student_id,channel,date,user_ask,jenny_reply,tactic,tags,source_ref,created_ts
S-JTBD-W001-168H-PLAN-0001,JTBD-W001-168H-PLAN,huda-2025,call,2023-06-21,"How do I fit SAT, ECs, and rest without burning out?","Start with non‑negotiables (sleep/school), then place SAT vitals in 50–70m blocks, and protect two EC build windows.",Capacity-first scheduling; non-negotiables → vitals → electives.,"scheduling,burnout-avoidance",W001 Transcript (execution slice),2025-09-29T20:29:04.490590+00:00
S-JTBD-W002-168H-ITER-0001,JTBD-W002-168H-ITER,huda-2025,call,2023-06-26,I keep slipping SAT blocks when school stuff pops up.,"Lock them in morning peak slots; if a block is missed, rebook within 24h, not the next week.",Peak-time anchoring + 24h rebook rule,"peak-time,rebook-24h",W002 Transcript,2025-09-29T20:29:07.202200+00:00
S-JTBD-W003-GOALS-0001,JTBD-W003-GOALS,huda-2025,call,2023-06-26,How many SAT sections per week vs. burnout?,Start at 3 quality sections; focus on post-mortems more than raw volume.,Quality-first reps + error taxonomy,"error-taxonomy,quality-over-quantity",W003 Transcript,2025-09-29T20:29:09.666570+00:00
S-JTBD-W004-PROFILE-0001,JTBD-W004-PROFILE,huda-2025,call,2023-06-26,What essay angle fits my real voice?,"Anchor in your lived moments of building for others; small, concrete scenes beat big claims.",Scene-first storytelling + service motive clarity,"story,scenes",W004 Transcript (Janice),2025-09-29T20:29:12.092492+00:00
S-JTBD-W0045-ESSAY-REFINE-0001,JTBD-W0045-ESSAY-REFINE,huda-2025,call,2023-06-26,How do I show not tell in my application?,"Ship small proofs—1–2 minute demo clips, published pieces, and a tidy README beat long descriptions.",Proof-over-prose artifacting,"proof-not-prose,artifacting",W004.5 Transcript (Jenny),2025-09-29T20:29:14.758233+00:00
S-JTBD-IMSG-W001-W005-MICRO-0001,JTBD-IMSG-W001-W005-MICRO,huda-2025,imessage,2023-06-30,Can you give me a quick message to email my club advisor?,"Here’s a 3‑sentence template: ask for a 10‑minute slot, specify your goal, propose two times.",Micro-template with constrained choices,"template,outreach",iMessage Part 1 (slice),2025-09-29T20:29:19.677293+00:00
S-JTBD-W005-NAVIANCE-0001,JTBD-W005-NAVIANCE,huda-2025,call,2023-07-07,How many projects in parallel are sane?,"Two streams is the sweet spot: one flagship, one supporting; both should ship small every 1–2 weeks.","Dual-track, ship-small cadence","dual-track,ship-small",W005 Transcript,2025-09-29T20:31:47.854827+00:00
S-JTBD-W001-168H-PLAN-0001,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"WEBVTT 1 00:00:27.890 --> 00:00:29.810 Jenny Duan: Hi, Huda, how's it going?",2 00:00:32.740 --> 00:00:33.980 huda: Okay.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795003+00:00
S-JTBD-W001-168H-PLAN-0002,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,If you know where that is?,And 14 00:02:28.930 --> 00:02:31.769 huda: so it's not that competitive.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795013+00:00
S-JTBD-W001-168H-PLAN-0003,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"But 15 00:02:31.910 --> 00:02:40.449 huda: as for my passions, I'm really interested in in computer science and just like you artificial intelligence?",16 00:02:40.510 --> 00:02:42.760 and also phone 17 00:02:42.970 --> 00:02:51.919 huda: and I'm looking to major in a film for some schools and computer science and some other schools.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795020+00:00
S-JTBD-W001-168H-PLAN-0004,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,So you mentioned that you're looking for help in extracurriculars?,Why does this stand out as an area that you want to work on.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795026+00:00
S-JTBD-W001-168H-PLAN-0005,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,Can you talk about your experience in school?,"Yeah, yeah.",,,W001 Transcript (execution slice),2025-09-29T20:58:00.795031+00:00
S-JTBD-W001-168H-PLAN-0006,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,31 00:05:00.380 --> 00:05:06.130 Jenny Duan: right?,32 00:05:06.150 --> 00:05:09.659 huda: Yeah.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795037+00:00
S-JTBD-W001-168H-PLAN-0007,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"39 00:05:50.740 --> 00:05:56.109 huda: So I think that's somewhere where I kinda missed that on 40 00:05:56.620 --> 00:06:08.550 Jenny Duan: yeah, totally understand?",And you mentioned that you're signing up for community college classes.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795042+00:00
S-JTBD-W001-168H-PLAN-0008,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,Is that right?,Do you know what impact those have on your Gpa.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795049+00:00
S-JTBD-W001-168H-PLAN-0009,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"If any, or is it separate from your gpu?","41 00:06:08.590 --> 00:06:20.870 huda: It's separate, but It does come as credits.",,,W001 Transcript (execution slice),2025-09-29T20:58:00.795055+00:00
S-JTBD-W001-168H-PLAN-0010,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"Why, Polyside 46 00:06:39.330 --> 00:06:41.420 huda: just because it's 47 00:06:41.600 --> 00:06:52.599 huda: kind of like one of our courses at our schools govern Econ.",And I kind of want like a foundation for that.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795061+00:00
S-JTBD-W001-168H-PLAN-0011,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,48 00:06:52.680 --> 00:06:56.720 Jenny Duan: And are you deciding between those 2?,"49 00:06:57.060 --> 00:07:06.480 huda: I'm still deciding, but I think I'm kind of leaning towards film, actually, because it kinda shows it.",,,W001 Transcript (execution slice),2025-09-29T20:58:00.795066+00:00
S-JTBD-W001-168H-PLAN-0012,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,What kind of roles you're you see yourself in at school?,I know you're part of the I think.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795080+00:00
S-JTBD-W001-168H-PLAN-0013,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,But at school would you say that?,Do you talk a lot in your classes.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795085+00:00
S-JTBD-W001-168H-PLAN-0014,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,Are you more quiet?,53 00:07:57.360 --> 00:08:10.379 huda: So I'm kind of like a quiet person.,,,W001 Transcript (execution slice),2025-09-29T20:58:00.795089+00:00
S-JTBD-W001-168H-PLAN-0015,JTBD-W001-168H-PLAN,huda-2025,,2023-06-21,"54 00:08:11.740 --> 00:08:14.570 Jenny Duan: And would you say that your friend group is 55 00:08:14.900 --> 00:08:25.570 Jenny Duan: a a bit competitive, or is it more collaborative?","How would you describe, because I've heard a lot about the Bay area.",,,W001 Transcript (execution slice),2025-09-29T20:58:00.795094+00:00
S-JTBD-W002-168H-ITER-0001,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"I hear that you are starting school, is it tomorrow?","Yeah, amazing.",,,W002 Transcript,2025-09-29T20:58:04.570653+00:00
S-JTBD-W002-168H-ITER-0002,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,How do you feel about that?,"because I actually just switch from regular Us history to ap, and then I have to do like all my Ap summer homework 4 00:00:24.390 --> 00:00:26.069 huda: today.",,,W002 Transcript,2025-09-29T20:58:04.570660+00:00
S-JTBD-W002-168H-ITER-0003,JTBD-W002-168H-ITER,huda-2025,,2023-06-26,"5 00:00:26.480 --> 00:00:35.980 Jenny Duan: oh, wow, how much work do you have?",Do you still have a lot to do.,,,W002 Transcript,2025-09-29T20:58:04.570666+00:00
