jtbd_id,student_id,phase,week,category,subcategory,jtbd_title,jtbd_desc,importance,status,source_type,source_title,source_date,source_file,source_link,primary_artifact_link,primary_artifact_type,artifact_1_link,artifact_1_type,artifact_2_link,artifact_2_type,tags,created_ts,updated_ts
JTBD-AS-0001,huda-2025,P1,1,interests,,"Surface interest clusters (AI, journalism, games/design)",Map interest clusters to guide EC & project choices; strong AI & journalism signals.,critical,done,TRANS-RAW,Assessment Call,2023-06-21,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1utJiaAmzG6HMfjcPeLbs_0OyFtKhWfym/view?usp=drivesdk,jsonl,,,,,"AI,journalism,games,design",2025-09-28T23:02:44.205420+00:00,2025-09-28T23:02:44.205456+00:00
JTBD-AS-0002,huda-2025,P1,1,ec_inventory,,Inventory current ECs & time spent,Capture clubs/activities and approximate hours as a baseline.,critical,done,TRANS-RAW,Assessment Call,2023-06-21,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1utJiaAmzG6HMfjcPeLbs_0OyFtKhWfym/view?usp=drivesdk,jsonl,,,,,"EC,hours,baseline",2025-09-28T23:02:44.474177+00:00,2025-09-28T23:02:44.474181+00:00
JTBD-AS-0003,huda-2025,P1,1,awards,,Identify early award opportunities,List award programs aligned to skills & narrative; NCWIT detected in discussion.,critical,done,TRANS-RAW,Assessment Call,2023-06-21,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1utJiaAmzG6HMfjcPeLbs_0OyFtKhWfym/view?usp=drivesdk,jsonl,,,,,"awards,NCWIT,early",2025-09-28T23:02:44.747712+00:00,2025-09-28T23:02:44.747715+00:00
JTBD-AS-0004,huda-2025,P1,1,sat,,Clarify testing plan starter,Establish baseline testing plan & timing; SAT references present.,critical,done,TRANS-RAW,Assessment Call,2023-06-21,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1utJiaAmzG6HMfjcPeLbs_0OyFtKhWfym/view?usp=drivesdk,jsonl,,,,,"SAT,testing-plan",2025-09-28T23:02:45.428691+00:00,2025-09-28T23:02:45.428695+00:00
JTBD-GP-0001,huda-2025,P1,0,sat,,Set SAT target and study cadence,Establish a concrete SAT target and define the weekly study rhythm (vitals-first).,critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"SAT,cadence,vitals-first",2025-09-28T23:02:47.528704+00:00,2025-09-28T23:02:47.528724+00:00
JTBD-GP-0002,huda-2025,P1,0,awards,,Select priority awards to target,"Choose a short-list of high-signal awards to pursue early (e.g., NCWIT).",critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"awards,prioritize,NCWIT",2025-09-28T23:02:47.730886+00:00,2025-09-28T23:02:47.730908+00:00
JTBD-GP-0003,huda-2025,P1,0,ec_strategy,,Define EC ladder (roles → scope → impact),"Draft a stepwise extracurricular ladder: scope growth, leadership, measurable impact.",critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"EC,ladder,impact",2025-09-28T23:02:47.962969+00:00,2025-09-28T23:02:47.962974+00:00
JTBD-GP-0004,huda-2025,P1,0,capacity_planning,,Block weekly capacity & schedule,"Allocate weekly hours across SAT, ECs, projects, and recovery; capture time blocks.",critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"schedule,hours,capacity",2025-09-28T23:02:48.193756+00:00,2025-09-28T23:02:48.193762+00:00
JTBD-GP-0005,huda-2025,P1,0,project_strategy,,Frame flagship AI project concept,Identify a flagship AI/x project aligned to interests and community value.,critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"AI,project,flagship",2025-09-28T23:02:48.435215+00:00,2025-09-28T23:02:48.435221+00:00
JTBD-GP-0006,huda-2025,P1,0,narrative,,Shape narrative & portfolio scaffolding,Draft early narrative scaffolding and artifacts to support the application story.,critical,done,GAMEPLAN,GamePlan Report,2025-06-22,Huda_Assessment_Gameplan_Report_2025-06-22_Jenny_v1.pdf,,https://drive.google.com/file/d/1UPhSy0nxL52plCGk1-QlrKfW6lsdbFyL/view?usp=drivesdk,jsonl,,,,,"narrative,portfolio",2025-09-28T23:02:48.693852+00:00,2025-09-28T23:02:48.693857+00:00
JTBD-EC-FINAL-0001,huda-2025,P4,79,ec_final,commonapp_submission,Consolidate final ECs for submission,"Normalize and lock the activities list (names, roles) used in college applications.",critical,done,APP-DOC,Final ECs & Awards (PreFinal),2024-12-15,Huda - Internal - PreFinal - EC and Award list Submitted .pdf,,https://drive.google.com/file/d/14BG_q7BVdDP-gJeki_VP4N1Mu5m9F419/view?usp=drivesdk,jsonl,,,,,"EC,final,submission",2025-09-29T03:54:45.408938+00:00,2025-09-29T03:54:45.408959+00:00
JTBD-HONORS-FINAL-0001,huda-2025,P4,80,honors_final,commonapp_submission,Consolidate final Honors/Awards for submission,Normalize and lock the honors/awards list used in college applications.,critical,done,APP-DOC,Final ECs & Awards (PreFinal),2024-12-15,Huda - Internal - PreFinal - EC and Award list Submitted .pdf,,https://drive.google.com/file/d/1LhFZd0hQF_0CDQL32QKl_x9ZaBmbGHaI/view?usp=drivesdk,jsonl,,,,,"honors,awards,final",2025-09-29T03:54:47.471702+00:00,2025-09-29T03:54:47.471733+00:00
JTBD-ADM-0001,huda-2025,P5,,admissions_final,college_list,Consolidate final college outcomes & attending,Normalize final decisions per school and record the attending institution.,critical,done,ADMISSIONS,Final College List & Decisions,,huda-final-college-list-and-decisions - huda-college-list.csv,,https://drive.google.com/file/d/16IKiXLBXpuJLJNUkQ3Wnm9my6GvyzwkY/view?usp=drivesdk,jsonl,,,,,"admissions,outcomes,attending",2025-09-29T19:07:51.375100+00:00,2025-09-29T19:07:51.375124+00:00
JTBD-CA-0001,huda-2025,P4,80,commonapp_final,testing_and_profile,Lock Common App testing & profile facts used in submissions,"Capture tested SAT sections, AP scores, and administrative flags (e.g., fee waiver intent).",important,done,APP-DOC,Common App - UNC (Final Submitted),2024-11-01,Huda - Common App - UNC College Application Final Submitted .docx,,https://drive.google.com/file/d/1YFMqQBsiBZoa3hiuGLOrrEnBRNmybgTY/view?usp=drivesdk,jsonl,,,,,"commonapp,testing,profile",2025-09-29T19:07:53.493026+00:00,2025-09-29T19:07:53.493046+00:00
JTBD-W001-168H-PLAN,huda-2025,P1,1,capacity_planning,168h,Stand up first 168-hour schedule,"Co-create a realistic weekly template allocating SAT, ECs, projects, school, and recovery.",critical,done,TRANS-RAW,W001 Transcript (execution slice),,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1cLR_AdUBSeCdrkJeann5FrxKNOPTjLp0/view?usp=drivesdk,jsonl,,,,,"168h,schedule,capacity,cadence",2025-09-29T20:29:04.036342+00:00,2025-09-29T20:29:04.036364+00:00
JTBD-W002-168H-ITER,huda-2025,P1,2,capacity_planning,iteration,Iterate 168h schedule with friction fixes,"Adjust template using observed friction, anchor SAT in peak-focus times, add recovery buffers.",critical,done,TRANS-RAW,W002 Transcript,,2023-06-26_W002_P1-FOUNDATION_TRANS-RAW_168hourCoachingFrameworkIntroduction.pdf,,https://drive.google.com/file/d/1HRtA8EZrhjh4tq6trAyb4AG1ZeoIoCLW/view?usp=drivesdk,jsonl,,,,,"168h,iteration,buffers,peak-focus",2025-09-29T20:29:06.738984+00:00,2025-09-29T20:29:06.739004+00:00
JTBD-W003-GOALS,huda-2025,P1,3,goals,milestones,Lock week-by-week goals for SAT & EC ladder,Define 2–3 measurable weekly outputs for SAT practice and EC ladder steps.,critical,done,TRANS-RAW,W003 Transcript,,2023-06-26_W003_P1-FOUNDATION_TRANS-RAW_168hourFrameworkImplementationandgoalSet.pdf,,https://drive.google.com/file/d/13E97mF9lWUodZmiGISkcfgMf2GwH7Lcf/view?usp=drivesdk,jsonl,,,,,"goals,weekly,EC,SAT",2025-09-29T20:29:09.370983+00:00,2025-09-29T20:29:09.371004+00:00
JTBD-W004-PROFILE,huda-2025,P1,4,profile_strategy,assessment,Profile assessment & essay direction (Janice),Elicit experiences that ladder to a coherent narrative; sketch essay angles.,important,done,TRANS-RAW,W004 Transcript (Janice),,2023-06-26_W004_P1-FOUNDATION_TRANS-RAW_StrategicProfileAssessmentandessayDevelo-janice.pdf,,https://drive.google.com/file/d/1dklAoxm5-3sDuWUzxbl9OMbREhiExFCt/view?usp=drivesdk,jsonl,,,,,"profile,essay,narrative",2025-09-29T20:29:11.699068+00:00,2025-09-29T20:29:11.699089+00:00
JTBD-W0045-ESSAY-REFINE,huda-2025,P1,4,essay,refinement,Refine essay direction & asset plan (Jenny),"Tighten core hook, identify supporting artifacts, and align with EC ladder.",important,done,TRANS-RAW,W004.5 Transcript (Jenny),,2023-06-26_W004.5_P1-FOUNDATION_TRANS-RAW_StrategicProfileAssessmentandessayDevelo-jenny.pdf,,https://drive.google.com/file/d/1a3ZI2UwELAZSNhaiDRnOsBJXU7x_LKjb/view?usp=drivesdk,jsonl,,,,,"essay,assets,alignment",2025-09-29T20:29:14.417671+00:00,2025-09-29T20:29:14.417718+00:00
JTBD-EXEC-W001-W005-ACTIONS,huda-2025,P1,1-5,exec_actions,planning,Aggregate action items from W001–W005,Normalize and register action items assigned across the first five sessions.,critical,done,EXEC-DOC,Execution Doc Part 1 (slice),,Part1_Jenny _ Huda Weekly Planning_Execution Doc_08_02_2023_08_30_2024.docx,,https://drive.google.com/file/d/13o4HED3aOtKTVJgkfWQBVkYgWxmGhl-v/view?usp=drivesdk,jsonl,,,,,"actions,owner,due",2025-09-29T20:29:17.040663+00:00,2025-09-29T20:29:17.040721+00:00
JTBD-IMSG-W001-W005-MICRO,huda-2025,P1,1-5,micro_support,nudges,Capture micro-interactions that unblocked execution,"Record small tactical nudges (templates, rephrases, snippets) that enabled momentum.",important,done,IMSG-RAW,iMessage Part 1 (slice),,Jenny-Huda Private iMessage Texts-Part-1_ImportedDoc.pdf,,https://drive.google.com/file/d/1PVPb1qIqVhkhEI9a_E_XmMp0v2_6w3I5/view?usp=drivesdk,jsonl,,,,,"micro,templates,unblock",2025-09-29T20:29:19.324831+00:00,2025-09-29T20:29:19.324850+00:00
JTBD-W005-NAVIANCE,huda-2025,P1,5,school_data,naviance,Interpret Naviance data & map multi-project plan,Translate school outcomes data into target tiers and define parallel projects.,critical,done,TRANS-RAW,W005 Transcript,,2023-07-07_W005_P1-FOUNDATION_TRANS-RAW_NavianceSchoolDataAnalysisandmultiProjec.pdf,,https://drive.google.com/file/d/1tQxgayxke9tpo0xWwDDA5zJUZxl6_kc7/view?usp=drivesdk,jsonl,,,,,"naviance,tiers,multi-project",2025-09-29T20:31:47.476882+00:00,2025-09-29T20:31:47.476903+00:00
JTBD-W001-168H-PLAN,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W001 Transcript (execution slice),Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W001 Transcript (execution slice),2023-06-21,2023-06-21_W001_P1-FOUNDATION_TRANS-RAW_HudaJennyGamePlanGmt20230728.pdf,,https://drive.google.com/file/d/1xRzmcmzvgl2vydx8jdO-puACUIoKFWRx/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:00.349173+00:00,2025-09-29T20:58:00.349202+00:00
JTBD-W002-168H-ITER,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W002 Transcript,Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W002 Transcript,2023-06-26,2023-06-26_W002_P1-FOUNDATION_TRANS-RAW_168hourCoachingFrameworkIntroduction.pdf,,https://drive.google.com/file/d/14b0I6ZZ4GslVfU0UCouqmlthYjQIxOGj/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:02.836563+00:00,2025-09-29T20:58:02.836583+00:00
JTBD-W003-GOALS,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W003 Transcript,Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W003 Transcript,2023-06-26,2023-06-26_W003_P1-FOUNDATION_TRANS-RAW_168hourFrameworkImplementationandgoalSet.pdf,,https://drive.google.com/file/d/1s0FSlpaFuDhgkABjsthfKvgXnIb8YREq/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:06.677274+00:00,2025-09-29T20:58:06.677297+00:00
JTBD-W004-PROFILE,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W004 Transcript (Janice),Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W004 Transcript (Janice),2023-06-26,2023-06-26_W004_P1-FOUNDATION_TRANS-RAW_StrategicProfileAssessmentandessayDevelo-janice.pdf,,https://drive.google.com/file/d/15IW4N7fFkLczCzuDMfJeoEeONYSnrdKV/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:09.338755+00:00,2025-09-29T20:58:09.338776+00:00
JTBD-W0045-ESSAY-REFINE,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W004.5 Transcript (Jenny),Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W004.5 Transcript (Jenny),2023-06-26,2023-06-26_W004.5_P1-FOUNDATION_TRANS-RAW_StrategicProfileAssessmentandessayDevelo-jenny.pdf,,https://drive.google.com/file/d/1cTiXOx5pgLI_BnxVPI8_fspxV8wLyoxa/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:11.644646+00:00,2025-09-29T20:58:11.644671+00:00
JTBD-W005-NAVIANCE,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from W005 Transcript,Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,TRANS-RAW,W005 Transcript,2023-07-07,2023-07-07_W005_P1-FOUNDATION_TRANS-RAW_NavianceSchoolDataAnalysisandmultiProjec.pdf,,https://drive.google.com/file/d/1Ije1D5RwSNfMcvih_SK2qKkWTfbRz8uJ/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:14.048562+00:00,2025-09-29T20:58:14.048583+00:00
JTBD-EXEC-PART1,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from Execution Doc (Part 1),Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,EXEC-DOC,Execution Doc (Part 1),2023-08-02–2024-08-30,Part1_Jenny _ Huda Weekly Planning_Execution Doc_08_02_2023_08_30_2024.docx,,https://drive.google.com/file/d/1YfZVyaW5JlLT6W_nzsqZgbZWX1DMlt-3/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:16.417850+00:00,2025-09-29T20:58:16.417870+00:00
JTBD-IMSG-PART1,huda-2025,P1,,interactions,hybrid-pass,Hybrid interactions from iMessage Part 1 (slice),Richer interaction snippets (5–15) extracted via hybrid pass.,standout,done,IMSG-RAW,iMessage Part 1 (slice),2023-06–2024-??,Jenny-Huda Private iMessage Texts-Part-1_ImportedDoc.pdf,,https://drive.google.com/file/d/1IIUSpCTWVxw9O5qFKzAlaV7UvkyVMBPn/view?usp=drivesdk,jsonl,,,,,"hybrid,interactions",2025-09-29T20:58:18.539564+00:00,2025-09-29T20:58:18.539586+00:00
JTBD-W001-168H-PLAN-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1IZFUVLZk6RC-IG-5rfP-u3iYWJGQz_IN/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:43.927513+00:00,2025-09-29T22:00:43.927542+00:00
JTBD-W002-168H-ITER-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1BxRqtgXiLsAYeUF2cTq-PsB8SyIwUCSg/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:45.762310+00:00,2025-09-29T22:00:45.762331+00:00
JTBD-W003-GOALS-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1yakT2s3FZLMVaM7R8OKHffK1R3-VxvrZ/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:47.836647+00:00,2025-09-29T22:00:47.836673+00:00
JTBD-W004-PROFILE-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1dQcvxraTMmkJWVKfVcHcUTez_j_SJI5R/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:49.703922+00:00,2025-09-29T22:00:49.703942+00:00
JTBD-W0045-ESSAY-REFINE-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/15z-d9Z3-I22lKQPDv57up5gQ-mQZ0ajk/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:51.466148+00:00,2025-09-29T22:00:51.466168+00:00
JTBD-W005-NAVIANCE-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1-AebTbSAM6OOXHhwYq2Jl21FlCoZ9GD_/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:53.497446+00:00,2025-09-29T22:00:53.497502+00:00
JTBD-EXEC-PART1-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1Vdfrcjrrx9h-PnbczFGbHLmtS5ryPGBg/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:55.255535+00:00,2025-09-29T22:00:55.255558+00:00
JTBD-IMSG-PART1-V2,,,,,,,,,,,,,,,https://drive.google.com/file/d/1vYKE_ar5i9F5-Qhqp_zzl4QR9KdnEKp_/view?usp=drivesdk,jsonl,,,,,,2025-09-29T22:00:56.948936+00:00,2025-09-29T22:00:56.948956+00:00
JTBD-W006-REVIEW,huda-2025,P1,6,weekly_execution,sat_goals,First-week review & SAT recalibration,Re-center weekly goals; tune SAT cadence; avoid burnout via quality-first reps.,critical,done,TRANS-RAW,W006 Transcript,2023-08-05,2023-08-05_W006_P1-FOUNDATION_TRANS-RAW_FirstWeekReviewGoalSettingandsat.pdf,,https://drive.google.com/file/d/15hsM-7PD-v8fAEzvQdwH_6axrcNp4TiE/view?usp=drivesdk,jsonl,,,,,"sat,goals,cadence",2025-09-29T23:45:04.440885+00:00,2025-09-29T23:45:04.440907+00:00
JTBD-W008-NCWIT-STORY,huda-2025,P1,8,weekly_execution,ncwit_story,NCWIT story framing + summer program strategy,Select story beats for NCWIT and align summer programs to narrative signal.,critical,done,TRANS-RAW,W008 Transcript,2023-08-08,2023-08-08_W008_P1-FOUNDATION_TRANS-RAW_SummerProgramStrategyandncwitAppStorytel.pdf,,https://drive.google.com/file/d/1EQN7Oc59w8QwpwNQn-6un5nDy2SF6ogR/view?usp=drivesdk,jsonl,,,,,"ncwit,summer,story",2025-09-29T23:45:07.055361+00:00,2025-09-29T23:45:07.055381+00:00
JTBD-W011-NCWIT-DEV,huda-2025,P1,11,weekly_execution,ncwit_build,NCWIT application development,Move from outline to draft; list artifacts and mentors; map evidence links.,critical,done,TRANS-RAW,W011 Transcript,2023-09-06,2023-09-06_W011_P1-FOUNDATION_TRANS-RAW_NcwitAppDevelopmentandmotherInspiringJou.pdf,,https://drive.google.com/file/d/1F5XhOavaryLRXKR5nod76ImgamQq_3Dy/view?usp=drivesdk,jsonl,,,,,"ncwit,draft",2025-09-29T23:45:10.531871+00:00,2025-09-29T23:45:10.531891+00:00
JTBD-W009-PROJMGT,huda-2025,P1,9,weekly_execution,project_mgmt,Project management system & WIP limits,"Introduce dual‑track (flagship + supporting), set WIP limit 2, weekly demos.",critical,done,TRANS-RAW,W009 Transcript,2023-09-09,2023-09-09_W009_P1-FOUNDATION_TRANS-RAW_ProjectManagement.pdf,,https://drive.google.com/file/d/1s5QAT8P975plMhhIhrQ2WbgK_1nOajpK/view?usp=drivesdk,jsonl,,,,,"project,kanban,wip",2025-09-29T23:45:12.908594+00:00,2025-09-29T23:45:12.908619+00:00
JTBD-W010-CRISIS-MIT,huda-2025,P1,10,weekly_execution,crisis_momentum,Crisis navigation + MIT research touch + NCWIT breakthrough,"Stabilize bandwidth during crisis, make one research touch, lock NCWIT core scene.",critical,done,TRANS-RAW,W010 Transcript,2023-09-23,2023-09-23_W010_P1-FOUNDATION_TRANS-RAW_MsaCrisisNcwitEssayBreakthroughandmit.pdf,,https://drive.google.com/file/d/1XhY7h2qtDes9Sg2KSfAy4dEFEG3FiUZV/view?usp=drivesdk,jsonl,,,,,"crisis,mit,ncwit",2025-09-29T23:45:15.464714+00:00,2025-09-29T23:45:15.464741+00:00
