week,kind,count
,APP-DOC,27
,GAMEPLAN,12
,OTHER,705
,TRANS-INTEL,47
1,EXEC-INTEL,1418
1,GAMEPLAN,615
1,IMSG-INTEL,283
1,OTHER,1
1,TRANS-INTEL,263
2,OTHER,2
2,TRANS-INTEL,289
2,TRANS-RAW,434
3,OTHER,2
3,TRANS-INTEL,317
3,TRANS-RAW,281
4,OTHER,351
4,TRANS-INTEL,351
4,TRANS-RAW,510
5,OTHER,2
5,TRANS-INTEL,306
5,TRANS-RAW,414
6,IMSG-INTEL,206
6,OTHER,594
6,TRANS-INTEL,282
6,TRANS-RAW,281
7,EXEC-INTEL,96
7,OTHER,2
7,TRANS-INTEL,283
7,TRANS-RAW,434
8,OTHER,2
8,TRANS-INTEL,324
8,TRANS-RAW,2
9,IMSG-INTEL,252
9,OTHER,2
9,TRANS-INTEL,230
9,TRANS-RAW,1019
10,EXEC-INTEL,341
10,TRANS-INTEL,293
10,TRANS-RAW,439
11,OTHER,2
11,TRANS-INTEL,251
11,TRANS-RAW,383
12,OTHER,2
12,TRANS-INTEL,266
12,TRANS-RAW,492
13,TRANS-INTEL,215
13,TRANS-RAW,522
14,EXEC-INTEL,129
14,TRANS-INTEL,272
14,TRANS-RAW,526
15,OTHER,2
15,TRANS-INTEL,276
15,TRANS-RAW,603
16,TRANS-INTEL,219
16,TRANS-RAW,242
17,TRANS-INTEL,251
17,TRANS-RAW,2
18,OTHER,2
18,TRANS-INTEL,262
18,TRANS-RAW,372
19,OTHER,2
19,TRANS-INTEL,244
19,TRANS-RAW,528
20,OTHER,2
20,TRANS-INTEL,231
20,TRANS-RAW,256
21,TRANS-INTEL,248
21,TRANS-RAW,341
22,OTHER,2
22,TRANS-INTEL,260
22,TRANS-RAW,438
23,OTHER,3
23,TRANS-INTEL,222
23,TRANS-RAW,397
24,TRANS-INTEL,458
24,TRANS-RAW,334
25,EXEC-INTEL,172
25,OTHER,2
25,TRANS-INTEL,265
25,TRANS-RAW,310
26,OTHER,2
26,TRANS-INTEL,272
26,TRANS-RAW,308
27,OTHER,2
27,TRANS-INTEL,264
27,TRANS-RAW,358
28,TRANS-INTEL,185
28,TRANS-RAW,2
