fact_id,jtbd_id,student_id,domain,name,value,unit,effective_date,confidence,source_ref,provenance_note,created_ts
F-JTBD-AS-0001-ai1,JTBD-AS-0001,huda-2025,keyword,AI,1,,2023-06-21,high,Assessment Call,,2025-09-28T23:02:44.474134+00:00
F-JTBD-AS-0001-journalism1,JTBD-AS-0001,huda-2025,keyword,journalism,1,,2023-06-21,high,Assessment Call,,2025-09-28T23:02:44.474147+00:00
F-JTBD-AS-0001-game1,JTBD-AS-0001,huda-2025,keyword,game,1,,2023-06-21,high,Assessment Call,,2025-09-28T23:02:44.474156+00:00
F-JTBD-AS-0001-design1,JTBD-AS-0001,huda-2025,keyword,design,1,,2023-06-21,high,Assessment Call,,2025-09-28T23:02:44.474164+00:00
F-JTBD-AS-0002-clubmentions,JTBD-AS-0002,huda-2025,signal,club_mentions,20,,2023-06-21,medium,Assessment Call,,2025-09-28T23:02:44.747686+00:00
F-JTBD-AS-0002-hoursmention,JTBD-AS-0002,huda-2025,signal,hours_mentions,4,,2023-06-21,medium,Assessment Call,,2025-09-28T23:02:44.747698+00:00
F-JTBD-AS-0003-ncwit1,JTBD-AS-0003,huda-2025,keyword,NCWIT,1,,2023-06-21,low,Assessment Call,,2025-09-28T23:02:45.428677+00:00
F-JTBD-AS-0004-satmentions1,JTBD-AS-0004,huda-2025,signal,SAT_mentions,1,,2023-06-21,low,Assessment Call,,2025-09-28T23:02:45.700428+00:00
F-JTBD-GP-0001-mentionssat3,JTBD-GP-0001,huda-2025,signal,mentions_SAT,3,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:47.730840+00:00
F-JTBD-GP-0001-mentionstarg,JTBD-GP-0001,huda-2025,signal,mentions_target,6,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:47.730855+00:00
F-JTBD-GP-0001-targetapprox,JTBD-GP-0001,huda-2025,target,target_approx,1550,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:47.730867+00:00
F-JTBD-GP-0002-ncwithits2,JTBD-GP-0002,huda-2025,signal,NCWIT_hits,2,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:47.962946+00:00
F-JTBD-GP-0003-ecmentions15,JTBD-GP-0003,huda-2025,signal,EC_mentions,15,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:48.193734+00:00
F-JTBD-GP-0004-hoursmention,JTBD-GP-0004,huda-2025,signal,hours_mentions,3,,2025-06-22,medium,GamePlan Report,,2025-09-28T23:02:48.435195+00:00
F-JTBD-GP-0005-aimentions12,JTBD-GP-0005,huda-2025,signal,AI_mentions,12,,2025-06-22,low,GamePlan Report,,2025-09-28T23:02:48.693820+00:00
F-JTBD-GP-0005-empowermenti,JTBD-GP-0005,huda-2025,signal,empower_mentions,2,,2025-06-22,low,GamePlan Report,,2025-09-28T23:02:48.693834+00:00
F-JTBD-GP-0006-narrativehit,JTBD-GP-0006,huda-2025,signal,narrative_hits,5,,2025-06-22,low,GamePlan Report,,2025-09-28T23:02:48.928319+00:00
F-jtbd-ec-final-0001-empowerin,JTBD-EC-FINAL-0001,huda-2025,ec,Empowering AI (EmpowAI) – Magazine & Community,Founder/Editor-in-Chief,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678635+00:00
F-jtbd-ec-final-0001-synthoria,JTBD-EC-FINAL-0001,huda-2025,ec,Synthoria – AI Podcast (Spotify/YouTube),Host/Producer,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678652+00:00
F-jtbd-ec-final-0001-huda-s-st,JTBD-EC-FINAL-0001,huda-2025,ec,Huda’s Studio – Indie Game + AI Art,Founder/Designer,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678665+00:00
F-jtbd-ec-final-0001-jenz-medi,JTBD-EC-FINAL-0001,huda-2025,ec,JenZ Media – journalism & social content,Founder/Editor,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678676+00:00
F-jtbd-ec-final-0001-school-ne,JTBD-EC-FINAL-0001,huda-2025,ec,School Newspaper,Editor/Journalist,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678684+00:00
F-jtbd-ec-final-0001-girls-who,JTBD-EC-FINAL-0001,huda-2025,ec,Girls Who Code / CS Club,Member/Lead,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678693+00:00
F-jtbd-ec-final-0001-hackathon,JTBD-EC-FINAL-0001,huda-2025,ec,Hackathons / Game Jams,Participant/Team Lead,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678713+00:00
F-jtbd-ec-final-0001-community,JTBD-EC-FINAL-0001,huda-2025,ec,Community Teaching / Mentorship,Volunteer/Instructor,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678721+00:00
F-jtbd-ec-final-0001-journalis,JTBD-EC-FINAL-0001,huda-2025,ec,"Journalism Programs (e.g., JCamp)",Fellow/Participant,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678731+00:00
F-jtbd-ec-final-0001-portfolio,JTBD-EC-FINAL-0001,huda-2025,ec,Portfolio & Personal Website,Owner/Curator,,2024-12-15,high,Final ECs & Awards (PreFinal),Parsed from pre-final EC & Awards PDF,2025-09-29T03:54:45.678739+00:00
F-jtbd-honors-final-0001-games,JTBD-HONORS-FINAL-0001,huda-2025,award,Games for Change,Submitted/Targeted,,2024-12-15,medium,Final ECs & Awards (PreFinal),Keyword-detected from pre-final EC & Awards PDF,2025-09-29T03:54:47.657466+00:00
F-jtbd-honors-final-0001-jcamp,JTBD-HONORS-FINAL-0001,huda-2025,award,JCamp (AAJA),Applied/Participated,,2024-12-15,medium,Final ECs & Awards (PreFinal),Keyword-detected from pre-final EC & Awards PDF,2025-09-29T03:54:47.657481+00:00
F-jtbd-honors-final-0001-ap-sc,JTBD-HONORS-FINAL-0001,huda-2025,award,AP Scholar,Earned/Anticipated,,2024-12-15,medium,Final ECs & Awards (PreFinal),Keyword-detected from pre-final EC & Awards PDF,2025-09-29T03:54:47.657493+00:00
F-jtbd-adm-0001-accepted-count,JTBD-ADM-0001,huda-2025,admissions,accepted_count,9,,,high,Final College List & Decisions,Derived from college list CSV,2025-09-29T19:07:51.717821+00:00
F-jtbd-adm-0001-waitlisted-cou,JTBD-ADM-0001,huda-2025,admissions,waitlisted_count,8,,,high,Final College List & Decisions,Derived from college list CSV,2025-09-29T19:07:51.717836+00:00
F-jtbd-adm-0001-rejected-count,JTBD-ADM-0001,huda-2025,admissions,rejected_count,11,,,high,Final College List & Decisions,Derived from college list CSV,2025-09-29T19:07:51.717848+00:00
F-jtbd-adm-0001-attending-scho,JTBD-ADM-0001,huda-2025,admissions,attending_school,UIUC,,,high,Final College List & Decisions,Marked in sheet,2025-09-29T19:07:51.717857+00:00
F-jtbd-ca-0001-sat-erw,JTBD-CA-0001,huda-2025,testing,sat_erw,750,,2024-03-04,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716797+00:00
F-jtbd-ca-0001-sat-math,JTBD-CA-0001,huda-2025,testing,sat_math,780,,2024-03-04,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716811+00:00
F-jtbd-ca-0001-sat-total,JTBD-CA-0001,huda-2025,testing,sat_total,1530,,2024-03-04,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716820+00:00
F-jtbd-ca-0001-ap-psychology,JTBD-CA-0001,huda-2025,ap,AP Psychology,4,,2024-11-01,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716829+00:00
F-jtbd-ca-0001-ap-human-geogra,JTBD-CA-0001,huda-2025,ap,AP Human Geography,5,,2024-11-01,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716847+00:00
F-jtbd-ca-0001-ap-united-state,JTBD-CA-0001,huda-2025,ap,AP United States History,4,,2024-11-01,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716857+00:00
F-jtbd-ca-0001-ap-calculus-ab,JTBD-CA-0001,huda-2025,ap,AP Calculus AB,4,,2024-11-01,medium,Common App - UNC (Final Submitted),Parsed from Common App UNC doc,2025-09-29T19:07:53.716865+00:00
F-jtbd-ca-0001-fee-waiver-inte,JTBD-CA-0001,huda-2025,financial,fee_waiver_intent,yes,,2024-11-01,low,Common App - UNC (Final Submitted),Heuristic match in doc,2025-09-29T19:07:53.716874+00:00
F-jtbd-w001-168h-plan-total-ho,JTBD-W001-168H-PLAN,huda-2025,time,total_hours,168,hours/week,2023-06-21,high,W001 Transcript (execution slice),,2025-09-29T20:29:04.490545+00:00
F-jtbd-w001-168h-plan-sleep-ta,JTBD-W001-168H-PLAN,huda-2025,time,sleep_target,8,hours/night,2023-06-21,medium,W001 Transcript (execution slice),,2025-09-29T20:29:04.490560+00:00
F-jtbd-w001-168h-plan-sat-bloc,JTBD-W001-168H-PLAN,huda-2025,time,sat_blocks_init,3,blocks/week,2023-06-21,medium,W001 Transcript (execution slice),,2025-09-29T20:29:04.490572+00:00
