scholarship_name,sponsor_org,amount_usd,application_status,decision_date,notes,link
UIUC Chancellor's Scholarship,University of Illinois,10000,Accepted,2025-04-15,Merit-based tuition scholarship,
NCWIT Aspirations National Award,NCWIT,2500,Accepted,2024-05-10,National award for computing excellence,
Presidential Volunteer Service Award,White House,0,Accepted,2024-06-01,Recognition for volunteer service,
Cameron Impact Scholarship,Bryan Cameron Education Foundation,,Applied,,Full scholarship - submitted,https://www.bryancameroneducationfoundation.org/scholarship
Amazon Future Engineer,Amazon,40000,Applied,2024-12-19,STEM scholarship program,https://www.amazonfutureengineer.com/scholarships
Generation Google,Google,,Applied,2024-04-30,Computer science scholarship,https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship
Girls Make Games,Girls Make Games,10000,Applied,2024-05-31,Game development scholarship,https://www.gmgsf.org/college-scholarships
Elks Foundation Scholarship,Elks Foundation,,Applied,2024-11-12,Leadership and service scholarship,https://www.elks.org/scholars/scholarships/mvs.cfm
Taco Bell Scholars,Taco Bell Foundation,,Applied,2025-01-08,Leadership scholarship,
Crowdstrike NextGen Scholarship,Crowdstrike,10000,Applied,,Cybersecurity scholarship,https://www.crowdstrike.com/about-crowdstrike/nextgen-scholarship-program/
Women at Microsoft Scholarship,Microsoft,5000,Applied,2025-01-31,Women in tech scholarship,https://www.microsoft.com/en-us/diversity/programs/women-at-microsoft-scholarship
Intel Scholars,Intel,,Applied,,Technology scholarship,https://www.intel.com/content/www/us/en/diversity/scholars-program.html
Coca-Cola Scholarship,Coca-Cola Scholars Foundation,,Applied,,Leadership and service scholarship,
Burger King Whopper Scholarship,Burger King Foundation,,Applied,2024-12-16,Scholarship for high school students,https://burgerking.scholarsapply.org/
Equitable Excellence Foundation,Equitable Foundation,20000,Applied,2024-12-18,4-year scholarship ($5K/year),https://equitable.com/foundation/equitable-excellence-scholarship
GE-Reagan Foundation,Reagan Foundation,40000,Applied,2025-01-31,Leadership scholarship,https://www.reaganfoundation.org/education/scholarship-programs/ge-reagan-foundation-scholarship-program/
Lockheed Martin STEM Scholarship,Lockheed Martin,40000,Applied,2025-04-30,STEM scholarship program,https://lockheedmartin.com/en-us/who-we-are/communities/stem-education/lm-scholarship-program.html
ESA Game Development Scholarship,ESA Foundation,,Applied,,Game development scholarship,https://esafoundation.org/scholarships-computer-and-video-game-arts/
Society for Women Engineers,SWE,,Applied,,Women in engineering scholarship,https://swe.org/scholarships/
Visionary Industry Professionals (VIP) Scholarship,VIP,,Applied,,Women in technology,https://trustvip.com/wits-program-faqs/
Loadview Women in Computing Scholarship,Loadview,,Applied,,Women in computing,https://www.loadview-testing.com/scholarship/
Dr. Adawia Alousi STEM Scholarship,Alousi Foundation,10000,Applied,,Muslim women in STEM,https://bigfuture.collegeboard.org/scholarships/dr-adawia-alousi-stem-scholarship-fund-for-muslim-women
Fadel Scholarship,Fadel Foundation,,Applied,,Muslim students,https://fadelfoundation.wordpress.com/page/2/
Hagan Scholarship,Hagan Foundation,,Applied,,Rural students scholarship,https://haganscholarships.org/eligibility/
Central California Asian Pacific Women Scholarship,CCAPW,,Applied,,Asian Pacific American women,https://www.scholarships.com/scholarships/central-california-asian-pacific-women-scholarship
PG&E Better Together Scholarship,PG&E,,Applied,,Community scholarship,
SNC Women in STEM Scholarship,Sierra Nevada Corporation,7500,Applied,,Women in STEM scholarship,https://scholarshipamerica.org/scholarship/snc-women-in-stem-scholarship/
Navisite Scholarship,Navisite,10000,Applied,2025-04-30,Technology scholarship,https://learnmore.scholarsapply.org/navisite/
Hyundai Women in STEM Scholarship,Hyundai,10000,Applied,,Women in STEM scholarship,https://www.tun.com/scholarships/the-hyundai-women-in-stem-scholarship/
