college_name,bucket_category,decision_plan,application_status,acceptance_likelihood,program_applied,supplements,location,acceptance_rate,interview_required,decision_result,attending
Northwestern University,Reach,Regular Decision,Submitted,Reach,,,"Illinois",7.2,,Rejected,
UC Irvine,Reach,Regular Decision,Submitted,Reach,BS Game Design and Interactive Media,,"California",20,,Accepted,
UC San Diego,Reach,Regular Decision,Submitted,Reach,BS Cognitive Science (Machine Learning/Neural Computation),"4 350-word essays","California",15.13,,Waitlisted,
Carnegie Mellon University,Reach,Regular Decision,Submitted,Reach,Bachelor of Computer Science and Arts (BCSA),"3 300-word essays","Pennsylvania",11.2,,Waitlisted,
University of Pennsylvania,Reach,Regular Decision,Submitted,Reach,Cognitive Science: Computation and Cognition, BA,"2 200-word essays","Pennsylvania",5.13,,Rejected,
New York University,Reach,Regular Decision,Submitted,Reach,BFA Game Design,"1 250-word optional essay","New York",8,,Waitlisted,
Northeastern University,Reach,Regular Decision,Submitted,Reach,BFA Game Design,"Common App essay only","Massachusetts",7.5,,Accepted,
MIT,Reach,Regular Decision,Submitted,Reach,BS Comparative Media Studies (Games & Interactive Media),,"Massachusetts",4,TRUE,Rejected,
University of Southern California,Reach,Early Action,Submitted,Reach,B.S. in Computer Science (Games),"2 essays, 10 3-word responses","California",9.2,,Accepted,
Stanford University,Reach,Restrictive Early Action,Submitted,Reach,BS Science, Technology & Society,"3 essays, 5 50-word responses","California",4,,Rejected,
UNC Chapel Hill,Match,Early Action,Submitted,Match,Computer Science,,"North Carolina",8.2,,Accepted,
Georgia Tech,Match,Regular Decision,Submitted,Match,, "1 300-word essay","Georgia",10,,Waitlisted,
Barnard University,Reach,Regular Decision,Submitted,Reach,,,"New York",8,,Waitlisted,
UC Davis,Match,Regular Decision,Submitted,Match,BS Data Science,,"California",36.4,,Accepted,
UT Austin,Match,Regular Decision,Submitted,Match,,,"Texas",11.76,,Rejected,
Harvard University,Reach,Regular Decision,Submitted,Reach,,,"Massachusetts",3.59,,Rejected,
Brown University,Reach,Regular Decision,Submitted,Reach,, "3×250w, 3×100w","Rhode Island",5,,Rejected,
Cornell University,Reach,Regular Decision,Submitted,Reach,, "(multiple essays)","New York",7.5,,Rejected,
Yale University,Reach,Regular Decision,Submitted,Reach,,,"Connecticut",3.7,,Rejected,
Columbia University,Reach,Regular Decision,Submitted,Reach,, "1×100w, 4×150w","New York",4,,Rejected,
Duke University,Reach,Regular Decision,Submitted,Reach,,,"North Carolina",5.1,,Rejected,
UIUC,Match,Early Action,Submitted,Match,Data Science,,"Illinois",24,,Accepted,TRUE
UC Berkeley,Reach,Regular Decision,Submitted,Reach,BA Data Science,,"California",15,,Waitlisted,
UC Riverside,Safety,Regular Decision,Submitted,Safety,BS Data Science,,"California",70.3,,Accepted,
UC Santa Cruz,Match,Regular Decision,Submitted,Match,BS Computer Game Design,,"California",61,,Accepted,
UC Los Angeles,Reach,Regular Decision,Submitted,Reach,BS Data Science,,"California",9.46,,Waitlisted,
Cal Poly SLO,Match,Regular Decision,Submitted,Match,,,"California",29,,Waitlisted,
San Jose State University,Safety,Regular Decision,Submitted,Safety,,,"California",80,,Accepted,
