outcome_id,jtbd_id,student_id,type,name,level,result,date,details,source_ref,created_ts
O-JTBD-ADM-0001-0001,JTBD-ADM-0001,huda-2025,admission,Northwestern University,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Illinois"", ""acceptance_rate"": ""7.20%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717873+00:00
O-JTBD-ADM-0001-0002,JTBD-ADM-0001,huda-2025,admission,UC Irvine,BS Game Design and Interactive Media,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Game Design and Interactive Media"", ""location"": ""California"", ""acceptance_rate"": ""20%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717880+00:00
O-JTBD-ADM-0001-0003,JTBD-ADM-0001,huda-2025,admission,UC San Diego,"BS Cognitive Science, major specialization in machine learning and neural computation",Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Cognitive Science, major specialization in machine learning and neural computation"", ""location"": ""California"", ""acceptance_rate"": ""15.13%"", ""interview"": """", ""waitlist_note"": ""Haven't submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717894+00:00
O-JTBD-ADM-0001-0004,JTBD-ADM-0001,huda-2025,admission,Carnegie Mellon University,Bachelor of Computer Science and Arts (BCSA),Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""Bachelor of Computer Science and Arts (BCSA)"", ""location"": ""Pennsylvania"", ""acceptance_rate"": ""11.20%"", ""interview"": """", ""waitlist_note"": ""Haven't submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717900+00:00
O-JTBD-ADM-0001-0005,JTBD-ADM-0001,huda-2025,admission,University of Pennsylvania,"Cognitive Science: Computation and Cognition, BA",Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": ""Cognitive Science: Computation and Cognition, BA"", ""location"": ""Pennsylvania"", ""acceptance_rate"": ""5.13%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717905+00:00
O-JTBD-ADM-0001-0006,JTBD-ADM-0001,huda-2025,admission,New York University,BFA Game Design,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BFA Game Design"", ""location"": ""New York"", ""acceptance_rate"": ""8%"", ""interview"": """", ""waitlist_note"": ""Haven't submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717921+00:00
O-JTBD-ADM-0001-0007,JTBD-ADM-0001,huda-2025,admission,Northeastern University,BFA Game Design,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BFA Game Design"", ""location"": ""Massachusettes"", ""acceptance_rate"": ""7.50%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717926+00:00
O-JTBD-ADM-0001-0008,JTBD-ADM-0001,huda-2025,admission,MIT,BS Comparative Media Studies with Consentration in Games and Interactive Media,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Comparative Media Studies with Consentration in Games and Interactive Media"", ""location"": ""Massachusettes"", ""acceptance_rate"": ""4%"", ""interview"": ""Interviewed"", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717931+00:00
O-JTBD-ADM-0001-0009,JTBD-ADM-0001,huda-2025,admission,University of Southern California,B.S. in Computer Science (Games),Accepted,,"{""decision_plan"": ""Early Action"", ""program"": ""B.S. in Computer Science (Games)"", ""location"": ""California"", ""acceptance_rate"": ""9.20%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717935+00:00
O-JTBD-ADM-0001-0010,JTBD-ADM-0001,huda-2025,admission,Stanford University,"BS Science, Technology, Society",Rejected,,"{""decision_plan"": ""Restrictive Early Action"", ""program"": ""BS Science, Technology, Society"", ""location"": ""California"", ""acceptance_rate"": ""4%"", ""interview"": ""Optional"", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717940+00:00
O-JTBD-ADM-0001-0011,JTBD-ADM-0001,huda-2025,admission,UNC Chapel Hill,Computer Science,Accepted,,"{""decision_plan"": ""Early Action"", ""program"": ""Computer Science"", ""location"": ""North Carolina"", ""acceptance_rate"": ""8.20%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717945+00:00
O-JTBD-ADM-0001-0012,JTBD-ADM-0001,huda-2025,admission,Georgia Tech,,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Georgia"", ""acceptance_rate"": ""10%"", ""interview"": """", ""waitlist_note"": ""Submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717950+00:00
O-JTBD-ADM-0001-0013,JTBD-ADM-0001,huda-2025,admission,Barnard University,,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""New York"", ""acceptance_rate"": ""8%"", ""interview"": """", ""waitlist_note"": ""Submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717955+00:00
O-JTBD-ADM-0001-0014,JTBD-ADM-0001,huda-2025,admission,UC Davis,BS Data Science,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Data Science"", ""location"": ""California"", ""acceptance_rate"": ""36.40%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717960+00:00
O-JTBD-ADM-0001-0015,JTBD-ADM-0001,huda-2025,admission,UT Austin,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Texas"", ""acceptance_rate"": ""11.76%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717965+00:00
O-JTBD-ADM-0001-0016,JTBD-ADM-0001,huda-2025,admission,Harvard,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Massachusettes"", ""acceptance_rate"": ""3.59%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717972+00:00
O-JTBD-ADM-0001-0017,JTBD-ADM-0001,huda-2025,admission,Brown,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Rhode Island"", ""acceptance_rate"": ""5%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717977+00:00
O-JTBD-ADM-0001-0018,JTBD-ADM-0001,huda-2025,admission,Cornell,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""New York"", ""acceptance_rate"": ""7.50%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717982+00:00
O-JTBD-ADM-0001-0019,JTBD-ADM-0001,huda-2025,admission,Yale,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""Connecticut"", ""acceptance_rate"": ""3.70%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717988+00:00
O-JTBD-ADM-0001-0020,JTBD-ADM-0001,huda-2025,admission,Columbia,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""New York"", ""acceptance_rate"": ""4%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717993+00:00
O-JTBD-ADM-0001-0021,JTBD-ADM-0001,huda-2025,admission,Duke,,Rejected,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""North Carolina"", ""acceptance_rate"": ""5.10%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.717997+00:00
O-JTBD-ADM-0001-0022,JTBD-ADM-0001,huda-2025,admission,UIUC,,Accepted,,"{""decision_plan"": ""Early Action"", ""program"": """", ""location"": ""Illionois"", ""acceptance_rate"": ""24%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718002+00:00
O-JTBD-ADM-0001-0023,JTBD-ADM-0001,huda-2025,admission,UC Berkeley,BA Data Science,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BA Data Science"", ""location"": ""California"", ""acceptance_rate"": ""15%"", ""interview"": """", ""waitlist_note"": ""Haven't submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718007+00:00
O-JTBD-ADM-0001-0024,JTBD-ADM-0001,huda-2025,admission,UC Riverside,BS Data Science,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Data Science"", ""location"": ""California"", ""acceptance_rate"": ""70.30%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718013+00:00
O-JTBD-ADM-0001-0025,JTBD-ADM-0001,huda-2025,admission,UC Santa Cruz,BS Computer Game Design,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""BS Computer Game Design"", ""location"": ""California"", ""acceptance_rate"": ""61%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718018+00:00
O-JTBD-ADM-0001-0026,JTBD-ADM-0001,huda-2025,admission,UC Los Angeles,Data Science,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": ""Data Science"", ""location"": ""California"", ""acceptance_rate"": ""9.46%"", ""interview"": """", ""waitlist_note"": ""Haven't submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718026+00:00
O-JTBD-ADM-0001-0027,JTBD-ADM-0001,huda-2025,admission,Cal Poly SLO,,Waitlisted,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""California"", ""acceptance_rate"": ""29%"", ""interview"": """", ""waitlist_note"": ""Submitted"", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718031+00:00
O-JTBD-ADM-0001-0028,JTBD-ADM-0001,huda-2025,admission,SJSU,,Accepted,,"{""decision_plan"": ""Regular Decision"", ""program"": """", ""location"": ""California"", ""acceptance_rate"": ""80%"", ""interview"": """", ""waitlist_note"": """", ""status_note"": ""Submitted""}",Final College List & Decisions,2025-09-29T19:07:51.718036+00:00
O-JTBD-W001-168H-PLAN-0001,JTBD-W001-168H-PLAN,huda-2025,plan,168h_v1_template,,created,2023-06-21,Baseline weekly template captured; will iterate next session.,W001 Transcript (execution slice),2025-09-29T20:29:04.490602+00:00
O-JTBD-W002-168H-ITER-0001,JTBD-W002-168H-ITER,huda-2025,plan,168h_v2_with_rebook_rule,,created,2023-06-26,Added rebook rule + morning anchors.,W002 Transcript,2025-09-29T20:29:07.202211+00:00
O-JTBD-W003-GOALS-0001,JTBD-W003-GOALS,huda-2025,plan,weekly_goal_sheet_v1,,created,2023-06-26,Added cadence: 3 SAT sections + 1 portfolio artifact/week.,W003 Transcript,2025-09-29T20:29:09.666582+00:00
O-JTBD-W004-PROFILE-0001,JTBD-W004-PROFILE,huda-2025,plan,essay_outline_seed,,created,2023-06-26,Two candidate anecdotes chosen.,W004 Transcript (Janice),2025-09-29T20:29:12.092503+00:00
